iter	RMSE
0	111.7068571
1	105.5725501
2	99.75915929
3	94.35590109
4	89.24302698
5	84.44843769
6	79.88132344
7	75.70284836
8	71.68835472
9	67.78174418
10	64.16462884
11	60.69955098
12	57.38269796
13	54.29830416
14	51.40628116
15	48.60908948
16	45.975072
17	43.54553458
18	41.21436053
19	38.97021204
20	36.9018249
21	34.91663258
22	33.05874749
23	31.27644173
24	29.64393402
25	28.05581868
26	26.5243888
27	25.09985607
28	23.7724306
29	22.583028
30	21.36077156
31	20.2268779
32	19.16025801
33	18.16513231
34	17.24725707
35	16.35644788
36	15.48683643
37	14.67033412
38	13.9198979
39	13.2116456
40	12.53490485
41	11.90332517
42	11.29695998
43	10.73100271
44	10.20138012
45	9.706667604
46	9.23284358
47	8.790084587
48	8.382498981
49	7.992621021
50	7.623886236
51	7.279697085
52	6.958908799
53	6.66155076
54	6.372372198
55	6.105874403
56	5.861190467
57	5.627801542
58	5.413163012
59	5.213918136
60	5.025187911
61	4.851189189
62	4.684697537
63	4.524461047
64	4.367525049
65	4.233864866
66	4.11278764
67	4.000628734
68	3.895047454
69	3.792070916
70	3.691073736
71	3.609224625
72	3.534257984
73	3.467497528
74	3.398796615
75	3.335727069
76	3.26150423
77	3.206582517
78	3.1560509
79	3.099135153
80	3.056106611
81	2.997832807
82	2.94858648
83	2.916226685
84	2.881451623
85	2.850839214
86	2.826518299
87	2.790151048
88	2.764894212
89	2.733635927
90	2.706442189
91	2.687713074
92	2.662562436
93	2.64510683
94	2.628340681
95	2.602689286
96	2.576595017
97	2.562067863
98	2.544336914
99	2.524990918
100	2.508822326
101	2.49630137
102	2.471820901
103	2.461700346
104	2.444001052
105	2.424278615
106	2.415078422
107	2.398972435
108	2.391459103
109	2.374629286
110	2.363938642
111	2.355428004
112	2.346042157
113	2.334376956
114	2.326597383
115	2.319430767
116	2.314956566
117	2.304862217
118	2.299894296
119	2.293397385
120	2.279194636
121	2.274659887
122	2.26889696
123	2.26318563
124	2.255470808
125	2.250616204
126	2.243878372
127	2.234748166
128	2.227101893
129	2.22279905
130	2.218347145
131	2.212879022
132	2.202498319
133	2.198429346
134	2.194635413
135	2.19024316
136	2.182551119
137	2.177175473
138	2.173669667
139	2.166836862
140	2.163994315
141	2.157459801
142	2.154349966
143	2.152291497
144	2.148227936
145	2.144593974
146	2.13943164
147	2.135664805
148	2.133278553
149	2.129792979
150	2.125432608
151	2.118299394
152	2.114894326
153	2.10935794
154	2.106370476
155	2.103277552
156	2.100454479
157	2.093226368
158	2.09098667
159	2.09010811
160	2.086308509
161	2.080495904
162	2.072757037
163	2.068996063
164	2.066700483
165	2.060993556
166	2.05967861
167	2.053887709
168	2.051221998
169	2.048638456
170	2.044880722
171	2.043103948
172	2.038772818
173	2.036557198
174	2.034453578
175	2.03273779
176	2.031022087
177	2.028044804
178	2.023666394
179	2.020990441
180	2.016513995
181	2.013626358
182	2.012059234
183	2.00357282
184	1.999423885
185	1.994813137
186	1.989262331
187	1.985838497
188	1.983983201
189	1.981963088
190	1.980190061
191	1.97586198
192	1.973677539
193	1.971235991
194	1.970553568
195	1.963200248
196	1.960072954
197	1.959409139
198	1.956491474
199	1.955850412
200	1.955239977
201	1.953670887
202	1.951377418
203	1.949663717
204	1.947552567
205	1.946153899
206	1.940407424
207	1.938829108
208	1.935192054
209	1.932678543
210	1.930037095
211	1.923415955
212	1.919227092
213	1.916745686
214	1.916143892
215	1.915560037
216	1.911220503
217	1.907944948
218	1.903226177
219	1.901458725
220	1.899191739
221	1.897711277
222	1.897139154
223	1.896096113
224	1.892993625
225	1.892645738
226	1.891446762
227	1.887463559
228	1.884532315
229	1.883988493
230	1.88288955
231	1.88116306
232	1.878609239
233	1.877371997
234	1.876860906
235	1.872683256
236	1.870678275
237	1.867323796
238	1.865669019
239	1.863324823
240	1.86158365
241	1.858665742
242	1.858165975
243	1.855833439
244	1.854672134
245	1.854209019
246	1.851586128
247	1.850533198
248	1.848326384
249	1.847299598
250	1.845231851
251	1.843581531
252	1.842367413
253	1.839683951
254	1.834727747
255	1.833804706
256	1.833021285
257	1.828274121
258	1.827284988
259	1.826559612
260	1.823428771
261	1.822433542
262	1.820530908
263	1.819673055
264	1.81882191
265	1.818356116
266	1.814160084
267	1.812477715
268	1.81176168
269	1.810364959
270	1.808272651
271	1.806742784
272	1.802252428
273	1.799167174
274	1.797993371
275	1.796878297
276	1.795200832
277	1.791141822
278	1.7906895
279	1.789222324
280	1.786707375
281	1.785636561
282	1.781902804
283	1.780576557
284	1.77780947
285	1.776008644
286	1.774731606
287	1.773680849
288	1.772222318
289	1.769776573
290	1.769341255
291	1.766116943
292	1.765457137
293	1.764465115
294	1.762336244
295	1.760810798
296	1.759837312
297	1.756335668
298	1.755478051
299	1.75456206
300	1.752862742
301	1.751807038
302	1.750495853
303	1.749306132
304	1.748461453
305	1.747834203
306	1.747003959
307	1.74562492
308	1.744827609
309	1.744289485
310	1.743236863
311	1.741989082
312	1.74105161
313	1.738915842
314	1.7377802
315	1.736565132
316	1.735811691
317	1.734512121
318	1.733628527
319	1.732665052
320	1.731948075
321	1.731319861
322	1.728583181
323	1.727858917
324	1.724606497
325	1.724009394
326	1.72285138
327	1.719901098
328	1.719053597
329	1.716072958
330	1.715340182
331	1.713474721
332	1.713001656
333	1.712121838
334	1.711392337
335	1.710331431
336	1.707759541
337	1.706121506
338	1.704534717
339	1.703837713
340	1.702831405
341	1.700358696
342	1.699529179
343	1.698184437
344	1.697677352
345	1.696969285
346	1.696544108
347	1.695920882
348	1.695313358
349	1.694769892
350	1.692580042
351	1.691533033
352	1.689282299
353	1.688874016
354	1.687784392
355	1.687236618
356	1.684917077
357	1.684168959
358	1.682196469
359	1.679048197
360	1.676922938
361	1.675934743
362	1.673560874
363	1.672867762
364	1.67231405
365	1.67143267
366	1.669891905
367	1.669122085
368	1.668646311
369	1.668178693
370	1.667712493
371	1.667054344
372	1.666444677
373	1.666069761
374	1.66541274
375	1.664973666
376	1.662563944
377	1.660809163
378	1.659127159
379	1.658512239
380	1.657806483
381	1.657286349
382	1.656358123
383	1.654745939
384	1.652745665
385	1.651198782
386	1.650120696
387	1.649718667
388	1.649267088
389	1.648552679
390	1.647489093
391	1.646523417
392	1.645033399
393	1.643936844
394	1.64250631
395	1.639805107
396	1.639337152
397	1.638551274
398	1.636785614
399	1.63484848
400	1.63277451
401	1.631980115
402	1.631127852
403	1.630337169
404	1.629937408
405	1.629455453
406	1.62862077
407	1.627002971
408	1.626647282
409	1.624777286
410	1.624140064
411	1.623535208
412	1.622138031
413	1.619761748
414	1.618882142
415	1.618214664
416	1.617042207
417	1.616713103
418	1.614261867
419	1.613680119
420	1.611720015
421	1.609867931
422	1.609550673
423	1.609089553
424	1.607894869
425	1.607451648
426	1.607098787
427	1.606911903
428	1.60541436
429	1.603241756
430	1.601847522
431	1.601404337
432	1.598897174
433	1.597095019
434	1.595420277
435	1.59298778
436	1.591676496
437	1.590788324
438	1.590411063
439	1.589512225
440	1.588685289
441	1.588049135
442	1.586305858
443	1.584709282
444	1.583955345
445	1.582695394
446	1.581236846
447	1.579934699
448	1.578685304
449	1.578166875
450	1.577237306
451	1.575560564
452	1.574093085
453	1.573301995
454	1.572902873
455	1.571681785
456	1.570291326
457	1.569914275
458	1.568790982
459	1.567473906
460	1.566340792
461	1.566056724
462	1.56537859
463	1.564216458
464	1.562967732
465	1.561868198
466	1.560822871
467	1.559550766
468	1.55791944
469	1.55690691
470	1.556424848
471	1.556150463
472	1.555596442
473	1.554893961
474	1.553917839
475	1.552529777
476	1.551531036
477	1.550517808
478	1.550221644
479	1.549047766
480	1.548671218
481	1.54836963
482	1.547233527
483	1.546024607
484	1.544614599
485	1.543665354
486	1.542621002
487	1.542097254
488	1.541048411
489	1.540263221
490	1.539876227
491	1.539563587
492	1.538297826
493	1.537403359
494	1.537128069
495	1.536629806
496	1.53553001
497	1.535055259
498	1.534592079
499	1.534309983
500	1.533040077
501	1.532895287
502	1.532441733
503	1.531150553
504	1.530163506
505	1.529405489
506	1.528696794
507	1.52819288
508	1.527104953
509	1.526159927
510	1.525443287
511	1.5249446
512	1.524578792
513	1.524053308
514	1.523407752
515	1.522999851
516	1.522564003
517	1.522111355
518	1.521407431
519	1.520960299
520	1.520129673
521	1.519753786
522	1.519460665
523	1.519232596
524	1.51890065
525	1.518602808
526	1.51824135
527	1.516579745
528	1.515782521
529	1.515328536
530	1.515186529
531	1.514840736
532	1.514480259
533	1.514201749
534	1.513426858
535	1.513113646
536	1.512006192
537	1.510822409
538	1.510505657
539	1.51008616
540	1.509792647
541	1.50855737
542	1.507583417
543	1.50727833
544	1.506798059
545	1.506396245
546	1.506175835
547	1.505126166
548	1.50467526
549	1.503971432
550	1.503677923
551	1.502847806
552	1.502391504
553	1.50163009
554	1.501337167
555	1.500457966
556	1.499821673
557	1.498916254
558	1.498044547
559	1.497125328
560	1.496920379
561	1.496655603
562	1.494979543
563	1.494294327
564	1.493857568
565	1.492368813
