iter	Passed	Remaining
0	143	143227
1	152	76020
2	160	53220
3	168	41962
4	175	34993
5	182	30161
6	186	26471
7	189	23458
8	192	21212
9	195	19383
10	199	17906
11	201	16609
12	204	15515
13	206	14553
14	209	13726
15	211	12997
16	213	12373
17	216	11784
18	217	11254
19	219	10771
20	221	10332
21	223	9935
22	225	9571
23	227	9236
24	229	8942
25	231	8669
26	233	8406
27	235	8159
28	236	7929
29	238	7716
30	240	7517
31	242	7328
32	244	7163
33	246	7005
34	248	6849
35	250	6700
36	252	6559
37	253	6428
38	255	6302
39	257	6182
40	259	6067
41	261	5969
42	263	5866
43	265	5765
44	267	5669
45	269	5579
46	270	5491
47	272	5408
48	274	5327
49	276	5256
50	278	5183
51	280	5112
52	282	5049
53	284	4984
54	286	4919
55	288	4857
56	289	4795
57	291	4738
58	293	4683
59	295	4628
60	297	4574
61	298	4523
62	300	4473
63	302	4424
64	304	4377
65	306	4332
66	308	4290
67	309	4246
68	311	4204
69	313	4165
70	315	4124
71	316	4085
72	318	4047
73	320	4011
74	322	3975
75	324	3942
76	326	3908
77	328	3877
78	329	3845
79	331	3814
80	333	3783
81	335	3753
82	337	3723
83	338	3695
84	340	3667
85	342	3643
86	345	3621
87	347	3596
88	348	3571
89	350	3545
90	352	3520
91	354	3495
92	355	3471
93	357	3450
94	359	3427
95	361	3404
96	363	3382
97	365	3360
98	366	3339
99	368	3319
100	371	3304
101	373	3285
102	374	3265
103	376	3247
104	378	3228
105	380	3209
106	382	3191
107	384	3174
108	386	3155
109	388	3139
110	390	3123
111	391	3106
112	393	3089
113	395	3072
114	397	3056
115	398	3040
116	400	3024
117	403	3013
118	405	3000
119	407	2985
120	408	2969
121	410	2955
122	412	2941
123	414	2926
124	416	2913
125	418	2900
126	420	2889
127	422	2876
128	424	2863
129	425	2850
130	427	2837
131	429	2825
132	431	2814
133	433	2801
134	435	2791
135	437	2780
136	439	2768
137	441	2756
138	443	2744
139	444	2733
140	446	2721
141	448	2710
142	450	2702
143	452	2691
144	454	2680
145	456	2670
146	458	2659
147	460	2648
148	462	2638
149	464	2629
150	466	2621
151	468	2612
152	470	2602
153	472	2593
154	473	2583
155	476	2576
156	478	2568
157	480	2559
158	482	2550
159	484	2541
160	485	2532
161	487	2522
162	489	2513
163	491	2504
164	493	2495
165	494	2486
166	496	2478
167	498	2469
168	500	2461
169	502	2452
170	504	2444
171	505	2435
172	507	2426
173	509	2418
174	511	2410
175	513	2402
176	515	2394
177	516	2386
178	518	2378
179	520	2372
180	522	2364
181	524	2357
182	526	2349
183	528	2341
184	529	2334
185	531	2327
186	533	2319
187	535	2313
188	537	2306
189	539	2299
190	541	2292
191	542	2284
192	544	2277
193	546	2271
194	548	2263
195	550	2257
196	552	2250
197	553	2243
198	555	2236
199	557	2229
200	559	2222
201	561	2216
202	562	2210
203	564	2203
204	566	2196
205	568	2190
206	570	2184
207	571	2177
208	573	2171
209	575	2165
210	577	2158
211	579	2153
212	581	2148
213	583	2143
214	585	2137
215	587	2131
216	589	2126
217	591	2122
218	594	2118
219	596	2113
220	598	2108
221	600	2102
222	601	2097
223	603	2092
224	605	2086
225	607	2080
226	609	2076
227	611	2070
228	613	2065
229	615	2059
230	616	2053
231	618	2048
232	620	2042
233	622	2037
234	624	2032
235	626	2027
236	627	2021
237	629	2016
238	631	2011
239	633	2005
240	635	2000
241	637	1995
242	638	1989
243	640	1985
244	642	1980
245	644	1974
246	646	1969
247	647	1964
248	649	1959
249	651	1954
250	653	1949
251	655	1944
252	656	1939
253	658	1934
254	660	1929
255	662	1925
256	664	1920
257	666	1915
258	667	1910
259	669	1905
260	671	1901
261	673	1896
262	675	1891
263	676	1886
264	678	1882
265	680	1877
266	682	1872
267	684	1868
268	685	1864
269	687	1859
270	689	1855
271	691	1850
272	693	1845
273	694	1841
274	696	1836
275	698	1832
276	700	1828
277	702	1823
278	704	1819
279	705	1814
280	707	1810
281	709	1806
282	711	1801
283	712	1797
284	714	1793
285	716	1789
286	718	1785
287	720	1781
288	722	1776
289	724	1772
290	725	1768
291	727	1764
292	730	1761
293	732	1758
294	734	1755
295	736	1751
296	738	1746
297	739	1742
298	741	1738
299	743	1735
300	745	1731
301	747	1727
302	749	1723
303	750	1719
304	752	1715
305	754	1711
306	756	1707
307	758	1703
308	760	1700
309	762	1696
310	764	1693
311	766	1689
312	768	1685
313	770	1682
314	771	1678
315	773	1674
316	775	1670
317	777	1666
318	779	1663
319	780	1659
320	782	1655
321	784	1651
322	786	1647
323	787	1643
324	789	1640
325	791	1636
326	793	1633
327	795	1629
328	797	1626
329	799	1622
330	800	1618
